,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,comment_count
31,A1L2-aNxF_E,أجواء كأس العالم  كشفت كواليس حفل الافتتاح ,2022-11-26T19:23:28Z,UCeriWoRVWMHXBbo-FNG-0GQ,الغافري QQQ,Entertainment,22.01.12,تحدي المعلومات|محمد عدنان|qqq|الغافري|معلومات|السعودية|كوميديا|ضحك|تحديات|اقوى|كرة القدم|معلومة|كرة قدم|برنامج|لعبة|لعب|فن|العاب|عائلة|فلوق|محمد عدنان وعبدالله الغافري|كيو كيو كيو|الحلقة|حلقة|ميسي|رونالدو|كأس العالم|حفل الافتتاح|كواليس حفل الافتتاح|اسرار حفل الافتتاح|اجواء كاس العالم|عبدالله الغافري كاس العالم|محمد عدنان كاس العالم|كاس العالم قطر ٢٠٢٢|مورقان فريمان|حفل افتتاح كاس العالم|حفل ختام كاس العالم|منتخب قطر كاس العالم|Highlights|مباراة|هدف|مبابي|نيمار,1467845,133777,3416
32,NjJhvY7JO88,ميسي غير  والحكم قتل المنتخب السعودي  وهذه مشكلة المنتخب التونسي ,2022-11-27T19:03:06Z,UCxUPU7lI249SW_j5WgByJRA,محمد عدنان Mohamad Adnan,Sports,22.01.12,محمد عدنان|mohamed adnan|mohamad adnan|كاس العالم|المغرب بلجيكا|تونس|world cup|استراليا|كاس العالم قطر|المساكني|معلول|علي|argentina|brazil|spain|بلجيكا|الدنمارك|المنتخب السعودي|السعودية|ميسي|رونالدو|مبابي|فرنسا|هدف|ملخص|تحليل|مباراة|نيمار|اهداف|قطر|منتخب|قطر السنغال|البرتغال غانا|كريستيانو رونالدو|Saudi Arabia|Highlights|السعودية بولندا|بيدري|Vinicius|France|اشرفحكيمي|حكيمزياش|كرواتيا|كريستيانو|كوريا|سواريز|كافاني|الارجنتين|لوكاكو|اليابان|الدوسري|بولندا|سالم|ايريكسين,1914143,312960,5773
33,dSDwBrxRI5g,محمد الغيطي دمر تاريخ نجيب الريحاني في مسلسل الضاحك الباكي,2022-11-25T14:19:44Z,UCOSZRhQf-9UcPjQjN3FV_4w,Mohamed Taher محمد طاهر,Autos & Vehicles,22.01.12,none,296776,18121,940
34,4R4p4SBfLuU,المغرب أقرب وآمال للسعودية وأمنيات تونس في التأهل توقعات الشلة حول فرص المنتخبات العربية,2022-11-28T22:33:16Z,UCMQ18I4n6ccOSNDLfdhrUbQ,Al Jazeera O2,Sports,22.01.12,شلة المونديال|شله المونديال|الشكس|محمد علي الشيكس|مع معتصم|ممدوح نصر الله|المنتخب السعودي|المنتخب المغربي|المنتخبات العربي|مونديال قطر2022|الشيكس تايدوم|مباريات العرب كأس العالم|كأس العالم 2022|المغرب|كاس العالم 2022|مباريات اليوم|توقعات كاس العالم|كاس العالم|مونديال قطر|كأس العالم قطر|مباريات كأس العالم قطر|حظوظ العرب|أسود الأطلس|السعودية|السعودية المكسيك|aljazeera o2|المغرب يفوز|الأخضر السعودي|o2|الجزيرة o2|al jazeera o2|كأس العالم|قطر,159632,6940,232
35,LSZRAym-d-s, سجنت اخواتي في غرفة كلها بالون تخانقوا,2022-11-26T16:07:54Z,UCJpTKAPjRh-ThyHXN6r7kxg,Sherin Amara,Comedy,22.01.12,جواهر_شيرين|sherine beauty|شيرين|شيرين بيوتى|مشتريات|تحديات شيرين و نارين|ميك اب|فلوج|تحديات شيرين و بسام|sherine|make up|مقالب|شيرين بيوتي|sherins beauty|نارين|نارين و شيرين|شيرين و نارين|نارين و شيرين وسيدرا|تحديات|تحدي|مشترياتي|QA|اساله و اجوبه|مشترياتي للمدرسة|تحديات شيرين ونارين|جوله في غرفتي|جواهر شيرين|تحدي لو خيروك|تحدي الاكل|رده فعلي علي|hauls|فيديوهات تمثيليه|vlogs,949884,55883,1524
36,d2heDnR3sjc,2022 MAMA IVEKep1erNMIXXLE SSERAFIMNewJeans  CHEER UP  Mnet 221129 방송,2022-11-29T12:03:31Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet KPOP,Gaming,22.01.12,2022 MAMA|2022 MAMA AWARDS|2022 마마|2022 마마 어워즈|CHEER UP|IVE|Kep1er|LE SSERAFIM|MAMA AWARDS|Mnet|NMIXX|NewJeans|뉴진스|르세라핌|마마 어워즈|아이브|엔믹스|엠넷|케플러|티빙에서스트리밍,2902644,192689,7395
37,7WdggVb74Zk,أنا مشجع مغربي في كأس العالم  عمر_يجرب,2022-11-28T21:31:51Z,UC7lfpgPpjx7YvuE12_UcGrg,عمر فاروق Omar Farooq,People & Blogs,22.01.12,عمر يجرب|عمر_يجرب|omar farooq|bahrain|عمر|فاروق|البحرين|omr94|omarfarooq|لعبة|سنة|كواليس|bts|مغامرة|اكتشاف|قطر|كاس العالم|كأس العالم|٢٠٢٢|الأرجنتين|مشجعين|مباراة|مشجع|تشجيع|لقطة|world cup|fans|2022|qatar|doha|argentina|brazil|match|highlights|qatar world cup|qatar2022,483435,37348,1135
38,qyAiaSApdWQ,برعاية السيد رئيس الجمهورية تحتفل جمعية رسالة بيوم التحدي في الجمعة 2 ديسمبر,2022-11-23T15:55:20Z,UCxVI2zPoiJIja40NmG4PCDw,Resala Charity Organization,29,22.01.12,مبادرة يوم التحدي|ذوي الاحتياجات الخاصة|يوم التحدي|أغنية يوم التحدي|جمعية رسالة|رسالة|وزارة التضامن الاجتماعي|أول جمعة من ديسمبر|Resala Charity|Resala|وزيرة التضامن الاجتماعي|ذوي الهمم|السيسي|مصر|الحدائق العامة|مبادرة جمعية رسالة|إعلان جمعية رسالة|إعلان رسالة|نانسي عجرم|بيج رامي|راغب علامة|تامر حسني|غادة عبد الرازق|التحالف الوطني للعمل الاهلي التنموي|العمل الأهلي في مصر|جمعية خيرية|الجمعيات الخيرية في مصر|جمعية رسالة للأعمال الخيرية|اتبرع,2198273,443,46
39,AYh-GW2QEy0,Dreamers  Qatar 2022 Official Soundtrack  أغنية قطر ٢٠٢٢ الرسمية دريمرز  الحالمون,2022-11-22T16:34:39Z,UCGr_NBOWno4FyhHY6gWeAng,Qatar2022,Sports,22.01.12,world cup official|fifa world cup Qatar|world cup Qatar|Qatar 2022|2022 world cup|world cup stadiums|football world cup Qatar|Jungkook at FIFA World Cup|Jungkook|BTS|방탄소년단,5478642,36466,1123
40,ZwSbB73zQz8,A5rass  Ana Baree2  الأخرس  أنا بريء Official Music Video,2022-11-26T15:30:07Z,UCkPvRLtdMjRu5t22foUmQQA,A5rass  الأخرس,Music,22.01.12,A5rass|Ana Baree2|أنا بريء|الأخرس|لا تسن السيف|الأخرس بعد شو|بعد شو|Baad Shu|Anghami Sessions|أنغامي|Haragaak Ghareeb|هرجعك غريب|Lahali|لحالي|أخرس|استنى شوي|Lama Tshofoha|محمد الاخرس|احكولها اني منيح|اخر خريف|مين فينا اللي خان|اخر كاس|لساتني بجنبي|الاخرس بعد شو|سيلاوي|Kan Yama Kan|كان يما كان|Lesatni Janbi|Akher Kharif|وبعد شو|الأخرس حالات واتس|جديد الأخرس|Siilawy|Jordan|Red Bull Jukebox|Alternative Music|الاردن|أغاني اردنية|شبكة|Chabaka,765842,45320,2628
