trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
110,0j84GbjGeEI,Mobile Suit Gundam the Witch from Mercury 7 Shall We GundamENCNHKTWKRTHIDVN sub,2022-11-20,UCejtUitnpnf8Be-v5NuDSLw,GundamInfo,Film & Animation,22.30.11,ガンダム|Gundam|高達|鋼彈|敢达|건담|GUNDAMINFO|ガンプラ|Gunpla|模型|鋼普拉|钢普拉|건프라|高达|ytccon|plastic model|witch|Witch from Mercury|水星的魔女,486273,10626,1510
111,EfIES3G7pM4,REAKSI WASEDA BOYS KETEMU SAMA BAPAKBAPAK GAUL  Tonight Show Premiere,2022-11-19,UCLojthXNTLMGp6XSp4wgPRw,TonightShowNet,Entertainment,22.30.11,vincent|desta|hesti purwadinata|enzy storia|my own music|epe|tonight show terbaru|tonight show terlucu|tonight show|tns|tonight show net|vindest,2996868,119801,3701
112,KuL9iqXfOdI,Cerita Retno Marsudi dan Sri Mulyani Persiapkan G20 Pertemanan 43 Tahun Permudah Koordinasi,2022-11-21,UCPAxpUn1mrn14xU0JpsLhDg,Kompascom,News & Politics,22.30.11,cerita sri mulyani dan retno marsudi|dua srikandi indonesia sri mulyani retno marsudi|g20|jokowi|jokowi sri mulyani retno marsudi|ktt g20|ktt g20 bali|persahabatan sri mulyani retno marsudi|retno marsudi|retno marsudi jokowi|retno marsudi sri mulyani|sri mulyani|sri mulyani jokowi|sri mulyani retno marsudi ktt g20 bali,176422,2339,569
113,S8QynN8u7_w,JAMBU ALAS  ONAR FEAT DESSY RAFAELLA OFFICIAL LIVE MUSIC  DC MUSIK,2022-11-18,UC7FE8E7nCP-sJO8o4FTo93Q,DC PRODUCTION,Music,22.30.11,DC MUSIK|DC PRODUCTION|DENNY CAKNAN|DANGDUT KOPLO|TRENDING|VIRAL|Jambu Alas|ONAR|DESSY RAFAELLA,607090,13016,1190
114,pDAoLnGDi9w,Ayam Terseram Guys  Chicken Feet Horror Game Indonesia,2022-11-20,UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,Gaming,22.30.11,miawaug|indonesia|jakarta|game|gameplay|walkthrough|download|miaaug|Miauaug|miawuaug|Chicken Feet|Horror|Ayam seram|Ayam|Terseram|horor|Kocak|Ayam horror|Game lucu|game horror lucu,1159455,44130,3312
115,QcYNBdTS_Js,24 JAM MAKAN SERBA PASTA,2022-11-20,UCFuM3BWlLM3YbLjkXBiJ8-A,Jessica Jane,Entertainment,22.30.11,JESSICA JANE|JESIKA JANE|24 JAM JESSICA JANE|jess no limit|mukbang samyang|mukbang ayam kfc|mukbang korean|indonesian mukbang|tabi and moochy|anjing jessica jane|tabitabi|prank dead|chef jessica|RESEP|CHEF JESSICA,1122758,41315,1728
116,8wKS0jh0tPM,Gt86K24 Akhirnya Selesai  Hasil Kerja Keras 10 Bulan,2022-11-19,UCmA-OmY_ZW7VZkET-64Psdg,Garasi Drift,Autos & Vehicles,22.30.11,none,562680,18989,1232
117,nDGM3OabPYo,Top 1 Bruno Review Skin Terbaru Neymar Jr  Mobile Legends,2022-11-21,UCvh1at6xpV1ytYOAzxmqUsA,Jess No Limit,Gaming,22.30.11,mobile legends|mobile legend|mobile|legends|MLBB|moonton|jess no limit|jess|no limit|evos jess|evos|evos jess no limit|RRQ|RRQ lemon|lemon|tuturu|oura|evos oura|zxuan|cold|alucard|bocah|fanny|donkey|patrick|brandon kent|noobqueen|leokoce|emperor|fox moba|wannn|jes no limit|jes|top global|top|global|top 1|xinnn|dwi woii|day helder|gerrard wijaya|harapan bangsa|supreme|tutorial|bkent,454386,12899,1006
118,fEQbUktWRLo,JKT48 New Era Special Performance Video  Eureka Milik Kita,2022-11-18,UCaIbbu5Xg3DpHsn_3Zw2m9w,JKT48,Music,22.30.11,jkt48|AKB48|Idol you can touch|JKT48 Team J|Team KIII|new era|new era jkt48|JKT48 new era,507462,34181,5814
119,1zd2Smk_1H0,TEBAK JUARA PIALA DUNIA,2022-11-20,UCgYmNAhjfv5GYWBOfzp831Q,Maell Lee,Comedy,22.30.11,maelle|maellers|bukan|kaleng|gak ada otak kau|kuretakkan|ginjal|kau|video baru maell lee|bukankalengkaleng|djarbi|putjeck,682156,16840,1300
120,UOPe1C4cpLg,JAY iKON X DK iKON  Love Scenario  Killing Me  The Indonesian Big Star,2022-11-19,UCcYhl60ZtxJBJITB1gywE2w,The Indonesian Next Big Star,Music,22.30.11,The Indonesian Next Big Star|Ikon|iKon|dk ikon|jay ikon|boy william|Sandi Sandoro|Mia Estianti|Judika|Robby Purba|kpop|TINBS|Indonesian Next Big Star|RCTI|TINBS RCTI|The Indonesian Next Big Star RCTI|RCTI Plus|Talent Search|Ikon Jay|Ikon DK|Boy William|Sandhy Sandhoro|Maia Estianty|the indonesian next big star rcti|robby purba|love scenario ikon|killing me ikon,645545,46054,2835
121,iAyROkz0RdE,Review Skin Bruno NEYMAR Skin 100 Ribuan Tapi Kualitas LEGEND  Mobile Legends,2022-11-20,UCmtAg_U0wvmWdxTlceISdEw,Jonathan Liandi,Gaming,22.30.11,MOBILELEGENDS|MOBILELEGENDSINDONESIA|MLBB|MLBBINDONESIA|JONATHANLIANDI|EMPEROR|GUSIONEMPEROR|EMPERORMOBILELEGENDS|VLOGJONATHANLIANDI|EMPETALK|REACTIONJONATHANLIANDI|KANGFREESTYLE|DUTAMYANMAR|YANGPENTINGFREESTYLEDULUBOSS|YOUTUBEJONATHAN|EMPACTION|REACTIONTIKTOKJONATHAN|GAMEPLAYBRUNO|TOPGLOBALBRUNO|TUTORIALBRUNO|CARAMAINBRUNO|BRUNONEYMARJR|SKINNEYMARJR|MLBBXNEYMARJR|CARADAPETINSKINNEYMAR|SUPREMEBRUNO|BRUNOPROPLAYER|BRUNOSAVAGE|BRUNOMLBB|NEYMARJR|NEYMARMLBB|BRUNOTIKTOK|BRUNOMARKSMAN|SKINBRUNO,839527,19980,1392
122,zzJvUZBtS7Y,NGAWUR SKIN NEYMAR 100K Kualitasnya 5 JUTA RUPIAH TERLALU BAGUS Skinnya CUY  Mobile Legends,2022-11-20,UCirWugW5e03u3DUGA87s58A,Oura Gaming,Gaming,22.30.11,evos oura|youtube gaming|handcam oura|handcam ekooju|oura caster|MPL|MOBILE LEGEND|freestyle lancelot oura|WORLD|review skin mobile legends|react tiktok|react tiktok mobile legends|WORLD MOBILE LEGENDS|OURA|gpx|rrq vs evos|gpx vs|trending|ekooju|RRQ|EVOS|GPX|gpx ladies|oura react|m4|rrq kingdom|mobile legends indonesia|gerrard wijaya|MDL 2022|MPL S10|onic kairi|evos dlar|kungfu panda|piala presiden 2022|gpx mdl|MPLI|onic,649126,11807,795
124,GEuomyhI8NE,Arief  Tolong Jaga Perasaanku Official Music Video,2022-11-18,UCmiJjv8BbzLahKpsfkQaBnA,Arief Putra,Music,22.30.11,arief musik|arief putra|lagu arief terbaur|tolong jaga perasaanku|tolong jaga perasaanku arief|lagu arief terbaru|arief|bagaikan tertusuk duri|satu rasa cinta arief|arif|satu rasa cinta|tiara|emas hantaran|rembulan malam|tak sedalam ini|arief satu rasa satu cinta|rela kau tinggalkan aku|gerhana dalam cinta|ytccon,467942,12907,1129
125,WgLIXJX2bSg,MANTAN CHEF HOTEL JUALAN DI PINGGIR JALAN MURAH  ENAK,2022-11-20,UCraCjR5btmMFGdb3EtBMM1Q,MGDALENAF,Entertainment,22.30.11,Mgdalenaf|Mgdalenafbekasi|Mgdalenaf bekasi|Mgdalenaf cikarang|Kuliner bekasi|Kuliner cikarang|Mgdalenaf terbaru|Mgdalenaf viral|Mgdalenaf makan pedas|kuliner enak bekasi|kuliner viral|kuliner viral bekasi|mgdalenaf galaxy,898206,12967,596
126,rdy_1I90FNE,HERO BAKU HANTAM COCOK BANGET BUAT SAYA GUYS   Mobile Legends,2022-11-21,UCuVxJ829ysWH2OhZJiWdnbg,RRQ Lemon,Gaming,22.30.11,lemon|rrq lemon|lemon rrq|team rrq|rrq hoshi|mobile legends,462617,9227,487
127,rMqZoedy3_g,여기는 필리핀   Philippines Vlog,2022-11-19,UCwgtORdDtUKhpjE1VBv6XfA,NCT,Music,22.30.11,NCT|NCT DREAM|WayV|엔시티|브이로그|Vlog|필리핀|Philippines|엔시티드림|웨이브이|쿤|런쥔|양양|샤오쥔|헨드리|KUN|RENJUN|XIAOJUN|HENDERY|YANGYANG|여행,654158,74034,2709
