trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
3,MST-0jsOTN0,space,2022-11-30,UC8Q7XEy86Q7T-3kNpNjYgwA,Incognito Mode,Comedy,22.30.11,space|astronomy|internet historian|in the field|storymode,384027,44965,2409
4,-tpND_8cak4,I found the best TITKOKS,2022-11-29,UCZ3AmknSJtbzXCeO5a4peoQ,LazarLazar,Gaming,22.30.11,none,795738,54716,2289
5,rEJVOxzjyQ0,Season 2 Trailer  Overwatch 2,2022-11-29,UClOf1XXinvZsy4wKPAkro2A,PlayOverwatch,Gaming,22.30.11,Overwatch 2|Overwatch,1736802,68204,9701
6,55XJ1ObZKaM,Billie Eilish Same Interview The Sixth Year  Vanity Fair,2022-11-28,UCIsbLox_y9dCIMLd8tdC6qg,Vanity Fair,Entertainment,22.30.11,billie|billie 6|billie eilish|billie eilish 2022|billie eilish 6|billie eilish interview|billie eilish same interview|billie eilish sixth year|billie eilish trailer|billie eilish vanity fair|billie eilish vanity fair interview|billie eilish year 6|billie interview|billie same interview|billie trailer|billie vanity fair|eilish|same interview|time capsule|vanity fair|vanity fair billie|vanity fair billie eilish|year 6|year six,4308368,305899,12206
7,fEXXnIBHJCE,W2S OPENS THE 250000 BIGGEST PACK EVER  FIFA 23,2022-11-28,UC5_IT4-XpinnvNQwM1e15eQ,W2S,Entertainment,22.30.11,W2S|sidemen,734924,46764,2079
189,X5GYl3PR-Tw,the moment japan win vs germany at world cup,2022-11-23,UCnU7ly6zEcQxUScjhkgFYAQ,thogden,Sports,22.29.11,japanjapan vs germanygermany vs japangermany v japanjapan v germanygermany 12 japanjapan fansjapan comeback vs germanyworld cupworld cup 2022japan vs germany highlights日本対ドイツドイツ対日本germany v japan world cupasano goal vs germanydoan goal vs gemany浅野ゴールvsドイツjapan world cupjapan v germany 21germany vs japan 12germany vs japan world cupドイツ対日本 ワールドカップthogden world cup日本のファンjapanese fanssamuraibluejfadaihyojapan football,873439,31797,3264
190,TVYScimJOSw,uniteds new owners glazers already know man utd news,2022-11-23,UCMmVPVb0BwSIOWVeDwlPocQ,the united stand,Sports,22.29.11,jadon sanchosanchomanchester unitedman unitedman utdmanchester united tvthe united standunited standmanchester united newsmufcman utd newsunitedmanchester united transfer newstransferromanomanchester united previewcristiano ronaldovs manchester unitedgoldbridgeerik ten hagten hagronaldomark goldbridgeronaldo interviewglazersman utd up for saleman utd sale,201410,5263,616
197,FX-ttYCFqOw,i made minecraft 2d,2022-11-21,UC9mvRrl9o7rG65ABsGVvDBw,mysticat,Gaming,22.29.11,none,1504860,61958,3897
199,2iaCRaF8ET8,mario kart 8 deluxe  booster course pass  wave 3 release date  nintendo switch,2022-11-21,UCGIY_O-8vW4rfX98KlMkvRg,nintendo of america,Gaming,22.29.11,nintendogamegameplayfunvideo gameactionadventurerpgplayswitchnintendo switch,1825153,54197,6468
192,Vw7PCLrLGVk,weekly vlog  my fake tan routine photo shoots and babymoon shopping  ad  mollymae,2022-11-20,UC-F3kTU4V680v550AavEOsQ,mollymae,People & Blogs,22.29.11,none,621624,20073,647
195,cM00aL93c2M,mmm chicken  taskmaster,2022-11-23,UCT5C7yaO3RVuOgwP8JVAujQ,taskmaster,Comedy,22.29.11,taskmasteralex hornegreg daviesfrank skinnerjosh widdicomberomesh ranganathanthe horne sectiontim keydave channeluktvred dwarfwould i lie to you8 out of 10 catstaskmaster full episodesjames acaster,257922,12706,596
186,N2EP3jaAvFI,billie eilish same interview the sixth year coming soon  vanity fair,2022-11-21,UCIsbLox_y9dCIMLd8tdC6qg,vanity fair,Entertainment,22.29.11,billiebillie 6billie eilishbillie eilish 2022billie eilish 6billie eilish interviewbillie eilish same interviewbillie eilish sixth yearbillie eilish teaserbillie eilish trailerbillie eilish vanity fairbillie eilish vanity fair interviewbillie eilish year 6billie interviewbillie same interviewbillie trailerbillie vanity faireilishsame interviewtime capsulevanity fairvanity fair billie eilishyear 6year six,1175769,64986,2877
188,_9PsLmbxvIg,we got hunted in a school,2022-11-20,UCJdxdc4MqvZRD9oFYoCl7wQ,tom simons,Entertainment,22.29.11,tom simonstommyinnitvlogi met wilbur soot in real lifetommyinnit vlogtom simons vlogtomsimonsvlog channelfunfunnywaterschooli got hunted in a school,1951529,179439,6168
193,x_vAEj0GstI,10 things englands declan rice cant live without  10 essentials,2022-11-21,UCUM0EMVw0nyynzUvwzO4vxQ,british gq,Entertainment,22.29.11,adidas beckham bootsadidas football bootsadidas predatoradidas predators david beckhambritish gqdeclan ricedeclan rice a league of their owndeclan rice fifadeclan rice fifa 22declan rice interviewdeclan rice west hamdeclan rice world cupdeclan rice world cup interviewenglandengland vsengland world cupfifa 22fifa playstation 5gqgq 10 essentialsrice englandrice rice baby,459011,8748,324
194,1oB1oDrDkHM,a better 1 cup v60 technique,2022-11-22,UCMb0O2CdPBNi-QqPk5T3gsQ,james hoffmann,Entertainment,22.29.11,james hoffmannjames hoffmanjimsevencoffee,479428,23065,1766
8,IJks7TIDfnk,2022 MAMA IVEKep1erNMIXXLESSERAFIMNewJeansELEVENWADADAOOFEARLESSHypeBoy  Mnet 221129 방송,2022-11-29,UCbD8EppRX3ZwJSou-TVo90A,Mnet KPOP,Gaming,22.30.11,2022 MAMA|2022 MAMA AWARDS|2022 마마|2022 마마 어워즈|ELEVEN|FEARLESS|HypeBoy|IVE|Kep1er|LE SSERAFIM|MAMA AWARDS|Mnet|NMIXX|NewJeans|OO|WADADA|뉴진스|르세라핌|마마 어워즈|아이브|엔믹스|엠넷|케플러|티빙에서스트리밍,4224851,262495,9876
9,jIBldkWO9a4,Danny MacAskills Postcard from San Francisco,2022-11-29,UCXqlds5f7B2OOs9vQuevl4A,Red Bull Bike,Sports,22.30.11,red bull|red bull bike|bike|redbull|danny macaskill|imaginate|way back home|danny macaskill imaginate|wee day out|mountain bike|mtb|danny macaskill red bull|biking|macaskill|danny macaskill san fran|san francisco|bike san francisco|trials riding|city mountain biking|san francisco mtb edit|california biking|alcatraz biking|bike tricks alcatraz|danny macaskill alcatraz|fabio wibmer|red bull san francisco|bike riding san francisco|san fran|alcatraz,318016,17637,1104
10,IpfyU7-8jPw,FARMING BASE EXPANSION  Episode 2  Minecraft Modded Vault Hunters,2022-11-29,UCZ9x-z3iOnIbJxVpm1rsu2A,iskall85,Gaming,22.30.11,minecraft|modded minecraft|minecraft mods 2022|best minecraft mod 2022|vault hunters|vaulthunters|vault hunters modpack|iskall modded minecraft|modded minecraft lets play|modded minecraft 2022|iskall85|vault hunters tutorial|minecraft mods|modded base minecraft|vault hunters mod|iskall mod|minecraft base|vault hunters 118|vault hunters 2|vodskall85,196232,17877,895
