index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
168330,WdimhGL7v3I,ME DIERON LA VISA Y MIS AMIGOS REACCIONARON ASI   El Super Trucha,2022-11-20,UCrRA_qpW3eQ4vfuwBCr7JMw,El Super Trucha,Comedy,2022-11-28,EL|SUPER|TRUCHA|RISAS|DIVERSION|COMEDIA|TEAMJUKI|JUKILOP|JUAN|DE|DIOS|PANTOJA|KIMBERLY|LOAIZA|SOYFRANCISCOALV|TRUCHITAS|MEXICANO|MEXICO|VIDEO|NUEVO|TENDENCIA|PREATY|BOY,436560,31474,0,376,https://i.ytimg.com/vi/WdimhGL7v3I/default.jpg,false,false
168332,5LAsheHdztw,Puse Millones de Centavos en el Patio de Mi Amigo,2022-11-19,UCNAhW2oJvy_FUU082pEDspA,MrBeast en Español,Entertainment,2022-11-28,None,8158714,293190,0,7911,https://i.ytimg.com/vi/5LAsheHdztw/default.jpg,false,false
168333,iLLoqrA3qMg,300 MILLONES PARA RECONSTRUIR EL EQUIPO Episodio 23 MODO CARRERA FIFA 23,2022-11-21,UCuvObJtOqP_WMImIlNt6uXw,Robertinho,Gaming,2022-11-28,FIFA 23|MODO CARRERA|RECONSTRUYENDO|FIFA 23 EN ESPAÑOL|FIFA 23 MODO CARRERA,496333,39293,0,1263,https://i.ytimg.com/vi/iLLoqrA3qMg/default.jpg,false,false
168334,2ME7tQ1k-oI,SPREEN REACCIONA a MrBEAST REGALA UN JET PRIVADO,2022-11-22,UCnJfUtNxpKFBLK5O578Wi_A,Spreen Bot,People & Blogs,2022-11-28,spreen|spreen reacciona|spreen reaccionando a|reaccion|spreendmc|twitch|directo|spreendmc reaccionando|20|español,484420,31667,0,547,https://i.ytimg.com/vi/2ME7tQ1k-oI/default.jpg,false,false
168335,2pTX-rtz9iM,24 HORAS SIENDO NOVIOS CON LA EX DE MI AMIGO,2022-11-22,UCoQm-PeHC-cbJclKJYJ8LzA,Fede Vigevani,Entertainment,2022-11-28,fede vigevani|dosogas|fedecole|fede|fede y sus vecinos|fede vecinos|broma a mis vecinos|ex novia|24 horas siendo novios con mi ex|la ex de mi amigo|24 horas|video de amor|scarday|ántrax|fede y scar,2770929,252377,0,9449,https://i.ytimg.com/vi/2pTX-rtz9iM/default.jpg,false,false
168336,D1ftUjzKa_Q,OFICIAL CRISTIANO se va  Así reaccionó MESSI a la derrota  GIROUD hace historia  LEWY perdonó,2022-11-22,UCv1xjGi8KibuoOK8StRFCWg,Cracks,Sports,2022-11-28,Cracks|UCL|Manu Bravo|Fútbol|Futebol|Soccer|Goles|Golazos|Highlights|Resumen|Noticias|Cracks MX|Lionel Messi|Cristiano Ronaldo|La Liga|Barcelona|Real Madrid|Serie A|Bundesliga|Premier League|Skills|Goals|UEFA Champions League|UEFA Europa League|canal|cracks|craks|crak|noticiero futbol|noticias|futbol|fichajes|rumores|oficial|confirmados|marifer,658623,33905,0,1349,https://i.ytimg.com/vi/D1ftUjzKa_Q/default.jpg,false,false
168337,d6d_KdqvhxE,BARDERO  BANDO Video Oficial,2022-11-21,UCn570qcYPpXz045Oeg0yQGQ,MDBCrew,Music,2022-11-28,cro|cro|homer|homer el mero mero|barderos|rap|hip hop|rock cro|rap latino|tomas campos|Bardero|trap|reggaeton|previa verano|freestyle|cro y duki|mdbcrew|MDB|HipHop|Rap en Español|urbano|Rap Argentino|Trap Argentino|Hip Hop Argetino|Reggaeton Argentino|Freestyle|Chulu|Franky Style|Lil troca|esto no es musica|esto no es musica es droga|trap latino|hip hop latino|cutral co|neuquen|BANDO|Luguez|Javier Fracchia|Alfredo Marz|Inmortales Tour|Luna Park,593012,53246,0,2302,https://i.ytimg.com/vi/d6d_KdqvhxE/default.jpg,false,false
168338,tXejubZnH-M,Los detalles de lo que ocurrió realmente en el aeropuerto Jorge Chávez  Cuarto Poder,2022-11-21,UCPhm2I2wk4vqjENwhn3px8A,América Noticias,News & Politics,2022-11-28,Cuarto Poder|america noticias|noticias|america noticias peru|noticias peru|americatvgo|america tvgo|tvgo|america tv go|america tvgo en vivo|america tv|america television|america tv en vivo|americatv|america|canal 4 en vivo|america en vivo|america espectaculos|domingo al dia|edicion central|edicion sabatina|edicion dominical|sanamente con el dr huerta,958679,8916,0,1208,https://i.ytimg.com/vi/tXejubZnH-M/default.jpg,false,false
168339,HHkpUePyolw,BESTIAL ASISTENCIA de FRENKIE DE JONG VICTORIA DE PAISES BAJOS  SENEGAL 0 PAISES BAJOS 2,2022-11-21,UCEq7SXGZ-0Hz2AYCq4CtjfQ,diSandro10,Sports,2022-11-28,Qatar 2022|Senegal vs Paises bajos|Senegal vs Paises bajos resumen hoy|Senegal vs Paises bajos hoy|Senegal vs Paises bajos goles|Deportes|Futbol|Senegal vs Paises bajos 2022|Paises bajos vs Senegal 2022|Senegal vs Paises bajos resumen|Cracks|Gol de hoy|Mundial qatar 2022|qatar 2022 inauguración|Senegal vs Holanda hoy|Senegal vs Holanda resumen|Frenkie de jong|Holanda vs Senegal hoy|Senegal 0 Paises bajos 2,243124,744,0,59,https://i.ytimg.com/vi/HHkpUePyolw/default.jpg,false,false
168340,2iaCRaF8ET8,Mario Kart 8 Deluxe  Booster Course Pass  Wave 3 Release Date  Nintendo Switch,2022-11-21,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Gaming,2022-11-28,nintendo|game|gameplay|fun|video game|action|adventure|rpg|play|switch|nintendo switch,1783588,53390,0,6371,https://i.ytimg.com/vi/2iaCRaF8ET8/default.jpg,false,false
