index,video_id,title,publishedat,channelid,channeltitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
167249,7z8DO1KhPFo,MURDER DRONES  Episode 2 Heartbeat,2022-11-18,UCn_FAXem2-e3HQvmK-mOH4g,GLITCH,Film & Animation,2022-11-22,meta runner|glitch productions|funny|video game|webtoon|cartoon|3d animation|animation|2d animation|3d art|animated web series|web series|online animation|newgrounds|nintendo|fortnite|minecraft|smg4|mario|supermarioglitchy4|anime|western shounen|naruto|my hero academia|zelda|glitch,1653391,112561,0,13275,https://i.ytimg.com/vi/7z8DO1KhPFo/default.jpg,false,false
167250,NtuTYGt2bvs,Max Görner vs Moritz Hans am Mount Midoriyama  Ninja Warrior Germany 2022,2022-11-18,UC2w2teNMpadicMg3Sd_yiyg,RTL,Entertainment,2022-11-22,Television|RTL|RTL Television|RTLTelevisionGmbH|TVNOW|Ninja Warrior|Ninja Warrior Germany|Frank Buschmann|Buschi|Jan Köppen|Laura Wontorra|Parcours|Parcour|Benni Grams|Oliver Edelmann|Mount Midoriyama|Sladi Djublabic|Moritz Hans|Ninja Warrior Germany Kids|Allstars|Duell|RTL plus|RTLplus|RTL|RTL |René Casselly|RTL Plus|TV NOW|tvnowde|Stream|Streaming|TV|Sender|rtlpluscom|RTL Nau|Daniel Hock|Big Bounce|4 Nationen Special|Finale|Max Görner,102993,711,0,141,https://i.ytimg.com/vi/NtuTYGt2bvs/default.jpg,false,false
167251,2up37wLocVU,YUNG HURN ft SKRT COBAIN  ELFBAR PROD SKRT COBAIN OFFICIAL VIDEO,2022-11-17,UCxGy3tfNGosx0y3CjxMWAXQ,YUNG HURN OFFICIAL,Music,2022-11-22,None,172104,12810,0,985,https://i.ytimg.com/vi/2up37wLocVU/default.jpg,false,false
167252,RbwEOGUzvxc,JAMULE x FOURTY  PLAYLIST  PROD BY JUHDEE Official Video,2022-11-17,UCAbiUl42boUt6vUL019r9Bw,LifeisPainTv,Music,2022-11-22,Jamule Fourty Playlist|Jamule|Fourty|Playlist|Jamule Fourty|Jamule Playlist|Fourty Playlist|Jamule Fourty Playlist reaction|Jamule Fourty Kids with attitude|Jamule Fourty 2000 euro|Jamule Fourty pa sports|pa sports|jamule forty kissenschlacht|jamule forty kredibil|Kids with Attitude|Jamule Fourts KWA|Kredibil|Jamule Kredibil|kids with attitude|jamule mit fourty|jamule fourty work it|jamule fourty album|jamule album|work it jamule|jamule deutschrap,130811,6506,0,239,https://i.ytimg.com/vi/RbwEOGUzvxc/default.jpg,false,false
167253,ChxUqoK3ils,What 3 straight days of God of War Ragnarok looks like,2022-11-18,UCd9TUql8V7J-Xy1RNgA7MlQ,zanny,Gaming,2022-11-22,None,667232,46630,0,1585,https://i.ytimg.com/vi/ChxUqoK3ils/default.jpg,false,false
167254,KuXjwB4LzSA,But what is a convolution,2022-11-18,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,Education,2022-11-22,Mathematics|three blue one brown|3 blue 1 brown|3b1b|3brown1blue|3 brown 1 blue|three brown one blue,554129,33423,0,1321,https://i.ytimg.com/vi/KuXjwB4LzSA/default.jpg,false,false
167255,_VubjtnRmhc, The Champions of The World ,2022-11-18,UClvow1RFSyeh5CRwRB_m5sA,BR Football,Sports,2022-11-22,br football|bleacher report|soccer|football|goal|champions|champions league|epl|world cup|ronaldo|messi,1128439,69356,0,2369,https://i.ytimg.com/vi/_VubjtnRmhc/default.jpg,false,false
167256,_K-Ltb9Tz-0,UNDACAVA  SATIX  DRILLINGE Prod by Mikky Juic,2022-11-17,UCjmNFoBlrquo1mTionhe-cw,UNDACAVA,Music,2022-11-22,AK Ausserkontrolle|Jason|Pablokk|BOM|Gullydeckelbande|Echte Berliner|Chirok 471|Koushino|Satix|187 Strassenbande|Raf Camora|GZUZ|Bonez MC|Hood Blaq|Kolja Goldstein|Bushido|Farid Bang|Kollegah|Lopende Zacken|Berlin|Aggro TV|Sido|Fard|Du Maroc|Azzlacks|Kolja|Mocro|Mafia|Holland Geschäfte|Doku|Spiegel TV|Hells Angels|Rocker Bande|undacava|jason|undercover|bom|musik|hiphop|deutschrap|jayjo|s8|s8plus|plus|neukölln|wedding|kreuzberg|einbruch|kriminalität|blitzeinbruch,102248,6524,0,345,https://i.ytimg.com/vi/_K-Ltb9Tz-0/default.jpg,false,false
167257,P65tI0SOnY8,Eilish No 2,2022-11-18,UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,Music,2022-11-22,None,688502,100835,0,7105,https://i.ytimg.com/vi/P65tI0SOnY8/default.jpg,false,false
167258,soaRRE5Ap8g,Meine Meinung zum neuen CSGO Update,2022-11-19,UCg2mZSWkyA40zrpBFZsOR5Q,TrilluXe,Gaming,2022-11-22,csgo neues update|csgo trilluxe neues csgo update funny moments|csgo dust2 active duty|csgo anubis active duty mappool|csgo awp changes|csgo m4a1s changes,68625,7700,0,339,https://i.ytimg.com/vi/soaRRE5Ap8g/default.jpg,false,false
167259,0nQKrQZtM-0,Speerspitze der Nato  Thüringer Panzer für die Ostflanke  Doku,2022-11-17,UCZOM0CqaJ5njZB_O-RyQSsw,MDR Investigativ,News & Politics,2022-11-22,NATO|Panzer|Bundeswehr|Thüringen|Sachsen|Krieg|Armee|Militär|Speerspitze|Ukraine|Russland|Truppe|VJTF|Gefecht|Schießübung|Manöver|Panzergrenadierbrigade 37|Panzerbataillon,438624,4214,0,1133,https://i.ytimg.com/vi/0nQKrQZtM-0/default.jpg,false,false
167260,Tz0qzuxfBag,Heftiges Schneetreiben und winterliche Straßenverhältnisse,2022-11-18,UCEHSAhzItg3sMONXAewVRpg,WetterOnline,Science & Technology,2022-11-22,Wetter|Wetterbericht|Wettervorhersage|Wetter für Deutschland|Wettertrend|Wetteraussichten|Wie wird das Wetter|Wetter heute|Deutschland,46099,463,0,151,https://i.ytimg.com/vi/Tz0qzuxfBag/default.jpg,false,false
167261,6Hx7XI2pMwA,LONGUS MONGUS   UGG BOOTS Prod by Moritz,2022-11-17,UCTYYVru04S0yqKYKFrV8uOg,BHZ,Music,2022-11-22,None,88591,7946,0,241,https://i.ytimg.com/vi/6Hx7XI2pMwA/default.jpg,false,false
167262,jVOuBBDdfP8,Bin ich wirklich deine Mutter Alle Outtakes  Knallerfrauen mit Martina Hill,2022-11-17,UCWCIIJRQImUtolnWZjcSB7Q,Knallerfrauen,Entertainment,2022-11-22,Outtake|Outtakes|Fail|Fails|lachen|Set|Am Set|Schauspieler|Plan|nach Plan|nach Plan verlaufen|nicht nach Plan verlaufen|Martina Hill|Knallerfrauen|Sketch|Comedy|Martina Hill Comedy|Typisch Frau|martina hill best of|Lustige Videos|sat1|Parodie|Parody|German Comedy|fun|funny|funny clips|irony|Beziehung|Family|sexy|sexy jokes|ganze folge,230620,370,0,21,https://i.ytimg.com/vi/jVOuBBDdfP8/default.jpg,false,false
167263,b4wGF7Sl8R0,Oman vs Deutschland  Highlights  Tore  Freundschaftsspiel,2022-11-16,UC8WYi3XQXsf-6FNvqoEvxag,RTL Sport,Sports,2022-11-22,UEFA|Sport|RTL Sport|FIFA|Fussball|Fußball|Soccer|Football|Formel 1|Race Day|RTL|TVNOW|RTL|RTLplus|RTL Plus|NITRO|Conference League|Europa League|Pokal|Qualifikation|Anna Kraft|Laura Papendick|Thomas Wagner|Matchday|RTL |DAZN|Prime|Lukas Podolski|Nations|Nationalelf|Deutschland|Nationalmannschaft|Hansi Flick|Flick|Kader|Bundestrainer|DFB|DFBElf|Tore|Highlights|1 FC Union Berlin|SC Freiburg|1 FC Köln|UEFA Europa League|UEL|UECL|UEFA Europa Conference League,859355,11389,0,1772,https://i.ytimg.com/vi/b4wGF7Sl8R0/default.jpg,false,false
167264,NqXBACw8Am4,24H SURVIVAL MILITÄR HÖLLENMARSCH  Mega Marsch durch die Wildnis,2022-11-17,UCl5_liU7CWXwkGU3Vf3UGNQ,Sascha Huber,Entertainment,2022-11-22,survival|marsch|24 stunden|7 vs wild|militär|7vswild|bundesheer|bundeswehr|jägerbataillon|jägerbataillon 25|challenge,721784,46559,0,1382,https://i.ytimg.com/vi/NqXBACw8Am4/default.jpg,false,false
167283,OfS4WXoASRY,Angeschossen  Knallerfrauen mit Martina Hill,2022-11-16,UCWCIIJRQImUtolnWZjcSB7Q,Knallerfrauen,Entertainment,2022-11-22,Sport|sportlich|Yoga|Asana|herabschauender Hund|Pups|pupsen|Furz|furzen|angeschossen|anschießen|Yogastudio|Yoga machen|Martina Hill|Knallerfrauen|Sketch|Comedy|Martina Hill Comedy|Typisch Frau|martina hill best of|Lustige Videos|sat1|Parodie|Parody|German Comedy|fun|funny|funny clips|irony|Beziehung|Family|sexy|sexy jokes|ganze folge,517586,324,0,32,https://i.ytimg.com/vi/OfS4WXoASRY/default.jpg,false,false
167265,3D2zxbmGB1A,Antonio Rüdiger Vom Käfigplatz in die größten Stadien der Welt  sportstudio,2022-11-17,UCE0RhriywrL8XhXbo87tMKQ,sportstudio,Sports,2022-11-22,Antonio Rüdiger|Rüdiger|Toni Rüdiger|Toni|Nationalmannschaft|Rüdiger Nationalmannschaft|Rüdiger Real Madrid|Antonio Rüdiger Real Madrid|Real Madrid|Rüdiger Real|Real|Königlichen|Die Königlichen|galaktisch|Madrid|Fussball|Real Fussball|Champions League|DFBTeam|Weltmeisterschaft|WM|Katar|Qatar|Rüdiger WM|Rüdiger Verteidigung|Rüdiger Abwehr|Weltmeisterschaft Rüdiger|Doku|ZDF|Sven Voss|sportreportage|Reportage|sportstudio|ZDF sportstudio,260492,5708,0,437,https://i.ytimg.com/vi/3D2zxbmGB1A/default.jpg,false,false
167266,_Z_QjWdJ93A,I became RICH in LEGO,2022-11-18,UCUU3GdGuQshZFRGnxAPBf_w,TD BRICKS,Entertainment,2022-11-22,lego|lego moc|lego mocs|lego creation|lego house|lego rich person|lego rich|lego meme|lego set|lego sets|lego tutorial|lego builder|lego star wars|lego minifigure|lego minifig|lego minifigures|legos|lego marvel|lego city|lego speed build|lego satisfying,2007246,66027,0,4358,https://i.ytimg.com/vi/_Z_QjWdJ93A/default.jpg,false,false
