trending_no,video_id,title,publishedat,channelid,channeltitle,categoryid,trending_date,tags,view_count,likes,comment_count
81,phwk_U5U_jg,تابعت كل مباريات كاس العالم ال64 من الملعب اليوم 1,2022-11-21,UCwBGFE-r7YeFFHT7JmxWPgg,Osama Marwah I اسامة مروة,People & Blogs,22.30.11,قضيت|٣٠|ساعة|بدون|حواسي|الخمسة|اكبر|لعبة|غميضة|مع|اليوتيوبرز|في|ملعب|افتتاح|كاس|العالم|قطر|استاد|عائلة انصالة|انس و اصالة|انس|اصالة|نارين عماره|نارين بيوتي|شيرين عماره|شيرين بيوتي|نور ستارز|غيث مروان|احمد النشيط|اسامة مروة|اوسي مروة|اكبر لعبة غميضة| اكبر لعبة غميضة مع اليوتيوبرز في ملعب افتتاح كأس العالم|قضيت ٣٠ ساعة بدون حواسي الخمسة|اكثر|يوتيوبر|اختفيت|لمدة|100|اختفيت لمدة 100 ساعة|كأس العالم|قطر ٢٠٢٢|قطر 2022|كأس العالم قطر 2022|رقم قياسي|محمد عدنان,1425485,110458,3165
83,Bc1QtI3btg0,ريم وبربري بعد ٧ سنين زواج حمل ام طلاق ,2022-11-17,UCuM3oV2U0AwbWAQcTSHUC_Q,Mazaj  مزاج,People & Blogs,22.30.11,Mazaj|مزاج|هوس الجمال|expensive tastes|ما يغلى عليك|Perfection 101|ليلى عقيل|وليد شارك|Layla Akil|دبي|السعودية|بنين ستارز|وليد ستارز|ma yeghla aalek|وليد شاركس|روان وريان|كارولين مارليني|caroline marlini|Walid Sharks|Noor Stars|نور ستارز|ريم وبربري|reem w barbary|reem|barbary|egypt|youtubers|يوتيوبرز|زواج|طلاق|حمل|اولاد|مؤثر|مقابلة,2009617,88820,2142
85,4FIuMbju0vg,القرنبيط المقرمش اوووي من غير بيض وبمقادير بسيطه جدا دقيق ومايه ماتيجوا نشوف ,2022-11-18,UCwV9Jz9SUT436PQ4-XE7N2w,الشيف هاله فهمي,Education,22.30.11,طريقه عمل القرنبيط|القرنبيط المقلي|اسهل طريقه لعمل القرنبيط|قرنبيط مقرمش|قرنبيط باللحمه المفرومه|قرنبيط فاطمه ابو الحاتي|قرنبيط بالفرن|قرنبيط بالبشاميل|قرنبيط دايت|قرنبيط مروه الشافعي|قرنبيط بدرن بيض|قرنبيط محمد حامد|قرنبيط هبه ابو الخير|قرنبيط صدفه جاد|قرنبيط اسرار المطبخ مع سمر|قرنبيط نجلاء الشرشابي,324661,6680,225
86,XMwey5J6VEs,Mohammed Saeed  2alo 3aleky  محمد سعيد  قالوا عليكي Official Audio,2022-11-16,UCNfh-U9s9SbahFTkglHrikg,Mohammed Saeed  محمد سعيد,Music,22.30.11,Muhammed|Saeed,3622102,138853,3529
87,_AB9zeIRZko,فاجأت حماتيوجابتلها مطبخ جديد بدل اللي انا رميته اخيرا عوضتها عن التعب اللي شافته,2022-11-20,UCHLJsqHk_EEULrcbVp9UV7A,شروق علام,People & Blogs,22.30.11,none,1110198,50502,4373
88,T2ToZvCtsF0,وش يصير اذا تحكمت بأعضاء فله باور    نظف المسبح و لك 10000  ,2022-11-23,UCluPPa2FoTzks_JupmO4KkA,FFearFFul,Entertainment,22.30.11,فيرفول|فيرفل|فلفل|فنجال|بن|دله|راكانو|بندريتا|فيصل|ffearfful|fortnite|فورتنايت|سكواد|سولو|انجليزي|امه|قابلت|عربي|احراج|ثامر|سالم|ثمنس|منسف|قراند|قراند|قراند الحياة الواقعية|قراند الحياه الواقعية|قراند الحياه الواقعيه|قراند الحياة الواقعيه|سكوب|العنزي|بابلو|درع العرب|فرفول|فرفل|فر فر|فيفول|فيرفوول|فييرفول|غدر|راكان|البطل|فنجال بن دله|رعب|العاب|ايمي|fearful|ferful|قصة|امي|شونق|بونق|قصه,1000440,89769,3514
89,T_37MmeQiLU,اللغة الإنجليزية ثالثة ثانوي  شرح منهج الثانوية العامة كاملا  الدرس الأول,2022-11-18,UCHrD4qdeQc1BbpG6EPqDBcA,ZAmericanEnglish,Education,22.30.11,كورس شامل|كورس شامل لتعلم اللغة الانجليزية|كورس انجليزي,259168,22517,2506
90,BLqLcCs0gTw,تحدي الثلاثين نسخة كأس العالم طلحة أحمد يواجه سهيل الحويك,2022-11-18,UCqe2V_eejw-b5SeOw63TQNw,M12 ALFOUZAN  قدم الكرة,Sports,22.30.11,تحدي_الثلاثين|كأس_العالم|قطر|رونالدو|كريستيانو|مانشستر|ريال_مدريد|طلحة_أحمد|قدم_الكرة|qatar|worldcup|world_cup|ronaldo|cristiano,802576,93745,1874
91,AiBXqQPA7EU,حلقة 11 مسلسل العائلة الفقيرة,2022-11-20,UC8_rCtlS9TF6bPN6JP_8bQw,أترو بلس Atro Plus,Gaming,22.30.11,ببجي|بوبجي|ببجي موبايل|pubg mobile|تحالف|افضل لاعب في ببجي موبايل|هكر|هاك|صناديق|فتح صناديق ببجي|شروحات|كمين|فتح صناديق|تهكير|مقلب|تحشيش|بابجي|اترو|Atro55|تثبيت سلاح|محترف|لاعب صيني|فلوس|بلاش|مجاني|كيف|شرح|تحديات اسبوعية|اربي|تحديث|شدات|تحديات|الوان|رومات|بث ببجي|صندوق ببجي|بكجات|crates|PUBG CRATES|ببجي صناديق|سحبات ببجي|ملابس ببجي|دولاب الحظ|يترو|Atro|PUBG UC,330705,45926,10248
92,_9ZPqtoj8D8,أفضل و أغرب 15 عالم في ماين كرافت,2022-11-19,UCY97TTrIVF1mvpYo0YcgbcQ,Ury  يري,Gaming,22.30.11,ماين كرافت|فلم ماين كرافت|افلام ماين كرافت|فيلم ماين كرافت|تحميل ماين كرافت|film ماين كرافت|فلم ماين كرافت الغني و الفقير|ماين|أفلام ماين كرافت|اغاني ماين كرافت|كرافت|لعبه ماين كرافت|العاب ماين كرافت|ماين كرافت ضحك|ماين كرافت ولكن|فيليم ماين كرافت|أغاني ماين كرافت|ماين كرافت 100 يوم|ماين كرافت الجوال|ماينن كرافت|حظ ماين كرافت|Ury|ury|يوري|يري|Ury  يري|أغرب,401967,41676,1283
